"plot","year","visit","richness","sre_rich","mre_rich","lre_rich","gridref","treatment","subcompartment","basal_area","dbh_average","dis_to_edge","tree_species","dis_broadleaf","stems_7.5cm_dbh","per_broadleaf_canopy","fallen_deadwood","deadwood_snags","canopy_openess","dom_understorey","dom_field_layer","bramble","bracken","forbs","grass","bare_ground","moss","brash_cover","leaf_litter","complexity_score","complexity_category","aspect","altitude"
25,2021,"2",6,1,3,2,"ST7570432874","SDS","302a","26",62,183.1332405,4,6,22,70,0,5,"35.88","Common Alder","Bracken","0","70-80%","30-40%","20-30%","0","70-80%","1-10%","30-40%",4,"Low",128.8032144,178.0242654
30,2021,"1",6,2,3,1,"ST7558435094","PS","Park Hill","44",41.8,49.65583399,7,50,16,0,0,0,"8.84","Western Hemlock","Bracken","40-50%","60-70%","1-10%","0","0","40-50%","30-40%","40-50%",5,"Low",174.8261615,209.5832043
30,2021,"2",8,4,3,1,"ST7558435094","PS","Park Hill","44",41.8,49.65583399,7,50,16,0,0,0,"8.84","Western Hemlock","Bracken","40-50%","60-70%","1-10%","0","0","40-50%","30-40%","40-50%",5,"Low",174.8261615,209.5832043
31,2021,"1",3,0,2,1,"ST7546432934","SDS","301c","18",40.6,38.42866653,5,30,12,0,35,1,"26.52","Western Hemlock","Bracken","1-10%","60-70%","1-10%","0","1-10%","60-70%","40-50%","80-90%",7,"High",175.9475321,213.2765851
31,2021,"2",1,0,0,1,"ST7546432934","SDS","301c","18",40.6,38.42866653,5,30,12,0,35,1,"26.52","Western Hemlock","Bracken","1-10%","60-70%","1-10%","0","1-10%","60-70%","40-50%","80-90%",7,"High",175.9475321,213.2765851
32,2021,"1",7,3,3,1,"ST7420435514","RIS","807c","38",33.8,34.5437399,5,7,33,30,1,1,"4.68","none","Bramble","60-70%","1-10%","20-30%","10-20%","10-20%","40-50%","20-30%","60-70%",5,"Low",201.4943051,180.93644
32,2021,"2",7,3,3,1,"ST7420435514","RIS","807c","38",33.8,34.5437399,5,7,33,30,1,1,"4.68","none","Bramble","60-70%","1-10%","20-30%","10-20%","10-20%","40-50%","20-30%","60-70%",5,"Low",201.4943051,180.93644
34,2021,"1",5,2,2,1,"ST7426435694","RIS","807c","38",32.8,39.388073,4,3,34,25,0,1,"11.18","none","Bramble","60-70%","1-10%","30-40%","20-30%","0","40-50%","50-60%","50-60%",3,"Low",170.6636759,183.3937109
34,2021,"2",3,0,2,1,"ST7426435694","RIS","807c","38",32.8,39.388073,4,3,34,25,0,1,"11.18","none","Bramble","60-70%","1-10%","30-40%","20-30%","0","40-50%","50-60%","50-60%",3,"Low",170.6636759,183.3937109
4,2021,"1",7,2,3,2,"ST7528433234","SDS","203a","30",35.4,34.38864896,4,50,6,0,24,0,"12.22","Western Hemlock","Bracken","1-10%","70-80%","1-10%","0","1-10%","50-60%","20-30%","80-90%",7,"High",174.6846697,216.2356685
4,2021,"2",8,3,3,2,"ST7528433234","SDS","203a","30",35.4,34.38864896,4,50,6,0,24,0,"12.22","Western Hemlock","Bracken","1-10%","70-80%","1-10%","0","1-10%","50-60%","20-30%","80-90%",7,"High",174.6846697,216.2356685
42,2021,"1",6,2,3,1,"ST7582435034","PS","Park Hill","44",39.6,47.24161153,5,50,24,0,0,0,"2.86","Western Hemlock","Bracken","10-20%","20-30%","20-30%","1-10%","0","20-30%","30-40%","50-60%",4,"Low",173.4715013,210.7821873
42,2021,"2",6,2,3,1,"ST7582435034","PS","Park Hill","44",39.6,47.24161153,5,50,24,0,0,0,"2.86","Western Hemlock","Bracken","10-20%","20-30%","20-30%","1-10%","0","20-30%","30-40%","50-60%",4,"Low",173.4715013,210.7821873
5,2021,"1",5,2,3,0,"ST7516436174","RIS","805a","36",40.2,60.56066891,5,9,26,10,5,2,"17.68","none","Mosses","30-40%","1-10%","10-20%","20-30%","1-10%","60-70%","40-50%","70-80%",3,"Low",187.4471596,171.2737353
5,2021,"2",7,1,3,3,"ST7516436174","RIS","805a","36",40.2,60.56066891,5,9,26,10,5,2,"17.68","none","Mosses","30-40%","1-10%","10-20%","20-30%","1-10%","60-70%","40-50%","70-80%",3,"Low",187.4471596,171.2737353
51,2021,"1",7,3,3,1,"ST7564432754","SDS","301d","32",73.4,125.2914107,7,4,12,100,35,10,"4.42","Western Hemlock","Bracken","1-10%","50-60%","10-20%","0","1-10%","1-10%","30-40%","90-100%",5,"Low",78.88502524,201.6062135
51,2021,"2",9,4,4,1,"ST7564432754","SDS","301d","32",73.4,125.2914107,7,4,12,100,35,10,"4.42","Western Hemlock","Bracken","1-10%","50-60%","10-20%","0","1-10%","1-10%","30-40%","90-100%",5,"Low",78.88502524,201.6062135
55,2021,"1",2,0,1,1,"ST7597532791","SDS","302g","32",53.2,220.7000941,7,3,37,25,7,2,"4.68","Birch","Bracken","0","30-40%","20-30%","1-10%","1-10%","10-20%","40-50%","90-100%",3,"Low",173.9007687,163.4455755
55,2021,"2",4,0,2,2,"ST7597532791","SDS","302g","32",53.2,220.7000941,7,3,37,25,7,2,"4.68","Birch","Bracken","0","30-40%","20-30%","1-10%","1-10%","10-20%","40-50%","90-100%",3,"Low",173.9007687,163.4455755
56,2021,"1",3,1,1,1,"ST7588434974","PS","Park Hill","38",37.8,15.87741711,5,10,21,5,0,1,"10.66","Western Hemlock","Bramble","40-50%","10-20%","1-10%","0","0","50-60%","40-50%","40-50%",5,"Low",180.4056693,199.0534627
56,2021,"2",7,2,4,1,"ST7588434974","PS","Park Hill","38",37.8,15.87741711,5,10,21,5,0,1,"10.66","Western Hemlock","Bramble","40-50%","10-20%","1-10%","0","0","50-60%","40-50%","40-50%",5,"Low",180.4056693,199.0534627
62,2021,"1",7,2,4,1,"ST7552432694","SDS","301f","26",57.8,58.86333937,4,40,9,0,2,0,"16.64","Western Hemlock","Bracken","0","10-20%","0","0","1-10%","1-10%","80-90%","90-100%",6,"High",154.3749118,229.6153961
62,2021,"2",5,2,2,1,"ST7552432694","SDS","301f","26",57.8,58.86333937,4,40,9,0,2,0,"16.64","Western Hemlock","Bracken","0","10-20%","0","0","1-10%","1-10%","80-90%","90-100%",6,"High",154.3749118,229.6153961
66,2021,"1",5,3,1,1,"ST7600434914","PS","Park Hill","42",45.4,42.40606466,3,50,19,0,6,1,"16.38","none","No field layer","1-10%","0","1-10%","0","1-10%","1-10%","90-100%","90-100%",3,"Low",186.1237042,205.2454825
66,2021,"2",4,2,1,1,"ST7600434914","PS","Park Hill","42",45.4,42.40606466,3,50,19,0,6,1,"16.38","none","No field layer","1-10%","0","1-10%","0","1-10%","1-10%","90-100%","90-100%",3,"Low",186.1237042,205.2454825
68,2021,"1",8,2,4,2,"ST7618432694","SDS","302h","16",49.4,80.26366432,9,10,10,50,2,0,"30.42","Holly","Bracken","0","70-80%","20-30%","1-10%","1-10%","20-30%","40-50%","50-60%",6,"High",123.2609002,150.1589796
68,2021,"2",7,3,4,0,"ST7618432694","SDS","302h","16",49.4,80.26366432,9,10,10,50,2,0,"30.42","Holly","Bracken","0","70-80%","20-30%","1-10%","1-10%","20-30%","40-50%","50-60%",6,"High",123.2609002,150.1589796
74,2021,"1",7,3,3,1,"ST7576432574","SDS","301f","22",52,195.9178531,4,30,10,0,45,1,"24.44","Western Hemlock","Bracken","10-20%","50-60%","1-10%","1-10%","1-10%","50-60%","30-40%","50-60%",5,"Low",161.3500781,180.3263286
74,2021,"2",5,1,2,2,"ST7576432574","SDS","301f","22",52,195.9178531,4,30,10,0,45,1,"24.44","Western Hemlock","Bracken","10-20%","50-60%","1-10%","1-10%","1-10%","50-60%","30-40%","50-60%",5,"Low",161.3500781,180.3263286
82,2021,"1",8,3,3,2,"ST7624434554","PS","Tucking Mill Hanging","34",59.4,64.23619551,3,50,8,0,0,1,"11.96","Western Hemlock","Bramble","20-30%","1-10%","1-10%","1-10%","1-10%","1-10%","20-30%","80-90%",4,"Low",174.351799,207.5556255
82,2021,"2",10,3,4,3,"ST7624434554","PS","Tucking Mill Hanging","34",59.4,64.23619551,3,50,8,0,0,1,"11.96","Western Hemlock","Bramble","20-30%","1-10%","1-10%","1-10%","1-10%","1-10%","20-30%","80-90%",4,"Low",174.351799,207.5556255
87,2021,"1",9,3,4,2,"ST7612434674","PS","Park Hill","36",51.2,33.5691368,5,40,11,0,0,0,"12.74","Western Hemlock","Bramble","30-40%","1-10%","1-10%","1-10%","0","40-50%","40-50%","30-40%",6,"High",174.7838593,203.367683
87,2021,"2",9,3,4,2,"ST7612434674","PS","Park Hill","36",51.2,33.5691368,5,40,11,0,0,0,"12.74","Western Hemlock","Bramble","30-40%","1-10%","1-10%","1-10%","0","40-50%","40-50%","30-40%",6,"High",174.7838593,203.367683
89,2021,"1",8,2,4,2,"ST7648434314","PS","Tucking Mill Hanging","42",58.4,69.32533764,6,25,11,10,10,2,"11.96","Douglas Fir","Bracken","40-50%","70-80%","20-30%","0","1-10%","10-20%","20-30%","80-90%",4,"Low",173.1977507,199.5612472
89,2021,"2",7,3,2,2,"ST7648434314","PS","Tucking Mill Hanging","42",58.4,69.32533764,6,25,11,10,10,2,"11.96","Douglas Fir","Bracken","40-50%","70-80%","20-30%","0","1-10%","10-20%","20-30%","80-90%",4,"Low",173.1977507,199.5612472
91,2021,"1",5,1,2,2,"ST7570432454","SDS","301f","18",47.8,81.9490183,5,20,11,0,0,0,"29.64","Silver Fir","Bracken","30-40%","80-90%","1-10%","0","1-10%","1-10%","10-20%","70-80%",5,"Low",156.1547606,198.4584627
91,2021,"2",6,2,2,2,"ST7570432454","SDS","301f","18",47.8,81.9490183,5,20,11,0,0,0,"29.64","Silver Fir","Bracken","30-40%","80-90%","1-10%","0","1-10%","1-10%","10-20%","70-80%",5,"Low",156.1547606,198.4584627
93,2021,"1",4,2,1,1,"ST7642434434","PS","Tucking Mill Hanging","36",54.2,90.20297519,4,60,13,0,0,1,"14.82","Douglas Fir","Bracken","40-50%","70-80%","20-30%","1-10%","1-10%","50-60%","1-10%","70-80%",3,"Low",185.288867,198.7786201
93,2021,"2",5,1,3,1,"ST7642434434","PS","Tucking Mill Hanging","36",54.2,90.20297519,4,60,13,0,0,1,"14.82","Douglas Fir","Bracken","40-50%","70-80%","20-30%","1-10%","1-10%","50-60%","1-10%","70-80%",3,"Low",185.288867,198.7786201
97,2021,"1",8,3,4,1,"ST7522433714","SDS","204a","18",44.2,114.4152694,8,18,6,0,4,0,"71.5","Hazel","Grasses","30-40%","30-40%","10-20%","50-60%","1-10%","1-10%","1-10%","20-30%",4,"Low",122.9974091,169.9733343
97,2021,"2",9,3,4,2,"ST7522433714","SDS","204a","18",44.2,114.4152694,8,18,6,0,4,0,"71.5","Hazel","Grasses","30-40%","30-40%","10-20%","50-60%","1-10%","1-10%","1-10%","20-30%",4,"Low",122.9974091,169.9733343
